"","s.BP","s.VM","index","stat","p.value"
"Otu330_Hydrozoa",0,1,2,0.130195624522246,0.7572
"Otu331_NA",1,0,1,0.437680346007783,1e-04
"Otu332_Eukaryota",0,1,2,0.130188910980824,1
"Otu333_NA",1,0,1,0.129261013450411,0.8477
"Otu334_Eukaryota",0,1,2,0.133691480391595,0.0015
"Otu335_Stylommatophora",0,1,2,0.126214343596753,0.7207
"Otu337_Eukaryota",1,0,1,0.486772953360966,1e-04
"Otu338_Eukaryota",1,0,1,0.133026963799117,0.0041
"Otu339_Eukaryota",0,1,2,0.351118372042739,0.0047
"Otu34_NA",1,0,1,0.185371425056395,0.0011
"Otu340_NA",1,0,1,0.131323251148689,0.0489
"Otu343_Eukaryota",0,1,2,0.367887409824021,0.0036
"Otu344_Eukaryota",1,0,1,0.132697517902267,0.0102
"Otu348_NA",1,0,1,0.467223821987939,2e-04
"Otu350_Farranula",0,1,2,0.20370595421351,0.0109
"Otu351_NA",0,1,2,0.775398019807026,1e-04
"Otu352_NA",1,0,1,0.304290309725092,0.0064
"Otu354_Cyclopoida",0,1,2,0.134518542113223,0.0011
"Otu356_Platyhelminthes",1,0,1,0.13361366148757,0.0021
"Otu357_Calocalanus",0,1,2,0.13842919783784,3e-04
"Otu358_Calanoida",0,1,2,0.132127135233254,0.1124
"Otu363_Arthropoda",0,1,2,0.466808400455571,2e-04
"Otu364_Hydrozoa",0,1,2,0.134339927635849,5e-04
"Otu365_NA",0,1,2,0.133733458568175,0.007
"Otu366_Eukaryota",0,1,2,0.264304357839925,0.0451
"Otu369_NA",0,1,2,0.249730502075494,0.0587
"Otu371_Chordata",0,1,2,0.083936790522759,0.5429
"Otu373_Eukaryota",1,0,1,0.572703638557637,1e-04
"Otu374_NA",0,1,2,0.0811047148354597,0.5532
"Otu375_Cnidaria",0,1,2,0.135533937279882,0.0024
"Otu377_Eukaryota",0,1,2,0.395786994700214,0.0013
"Otu378_Eukaryota",1,0,1,0.185695338177052,0.4932
"Otu379_NA",0,1,2,0.133437117274184,0.3161
"Otu38_Eukaryota",0,1,2,0.0506639081214238,0.8269
"Otu385_Ctenophora",1,0,1,0.131081824461716,0.3364
"Otu386_Calanoida",0,1,2,0.131738634726332,0.1869
"Otu387_Eukaryota",0,1,2,0.44305858043459,4e-04
"Otu388_Hydrozoa",1,0,1,0.566265802727475,1e-04
"Otu389_Nemertea",0,1,2,0.131424631265816,0.2558
"Otu393_NA",1,0,1,0.4465676890834,1e-04
"Otu394_Hydrozoa",0,1,2,0.130188910980824,1
"Otu395_Agalmatidae",1,0,1,0.130961290353054,0.399
"Otu396_Eukaryota",0,1,2,0.479577143900286,3e-04
"Otu397_NA",1,0,1,0.130393459962323,0.4835
"Otu398_NA",0,1,2,0.474746528209019,1e-04
"Otu399_Sagittoidea",0,1,2,0.149553915487773,0.3318
"Otu40_Clausocalanus",0,1,2,0.15673222624394,0.2352
"Otu404_NA",1,0,1,0.718835697487874,1e-04
"Otu405_NA",1,0,1,0.56310416084226,1e-04
"Otu406_Arthropoda",0,1,2,0.0717050223948733,0.6139
"Otu407_NA",1,0,1,0.476477286811875,4e-04
"Otu408_Arthropoda",1,0,1,0.136570022474467,0.0046
"Otu409_Hydrozoa",0,1,2,0.130203744577041,0.7511
"Otu41_NA",0,1,2,0.211690823759961,0.0493
"Otu410_NA",0,1,2,0.152427690212423,0.4878
"Otu411_Chordata",0,1,2,0.470550677268802,3e-04
"Otu413_NA",0,1,2,0.339946263618482,0.0077
"Otu414_Eukaryota",0,1,2,0.481571330330887,1e-04
"Otu418_Chordata",1,0,1,0.57656360365731,1e-04
"Otu42_Arthropoda",1,0,1,0.135207649096786,0.1112
"Otu420_NA",1,0,1,0.59735418706029,1e-04
"Otu421_NA",0,1,2,0.464772308925363,3e-04
"Otu422_Arthropoda",1,0,1,0.463107130921931,2e-04
"Otu424_Eukaryota",1,0,1,0.0997770359177664,0.436
"Otu425_NA",1,0,1,0.757564185659787,1e-04
"Otu426_Cnidaria",1,0,1,0.131267764504931,0.4183
"Otu432_NA",1,0,1,0.604222408963339,1e-04
"Otu433_NA",1,0,1,0.00175907278239359,1
"Otu435_Hydrozoa",0,1,2,0.350565180106655,0.0053
"Otu436_NA",1,0,1,0.134077405881124,0.0053
"Otu437_Arthropoda",0,1,2,0.0118052741556316,0.9356
"Otu439_Mollusca",0,1,2,0.305750080109992,0.0157
"Otu44_Oithona",0,1,2,0.156525052330634,0.0062
"Otu440_Arthropoda",1,0,1,0.176173193277355,0.4722
"Otu441_NA",0,1,2,0.0526997526362886,0.6948
"Otu443_Eukaryota",0,1,2,0.456828909591809,3e-04
"Otu446_Actinopteri",1,0,1,0.128784203569005,0.7847
"Otu447_NA",0,1,2,0.0400226430305304,0.7755
"Otu449_NA",1,0,1,0.133070630818332,0.1671
"Otu45_Hexanauplia",1,0,1,0.0345126335533524,0.8512
"Otu450_NA",1,0,1,0.00200155781820976,1
"Otu451_Eukaryota",1,0,1,0.114127672490684,0.4057
"Otu454_NA",1,0,1,0.081094380097668,0.7451
"Otu456_Leptothecata",1,0,1,0.130794164206496,0.4824
"Otu458_NA",0,1,2,0.430038255352858,5e-04
"Otu459_NA",1,0,1,0.567796886593565,1e-04
"Otu46_Acartia",1,0,1,0.123933948652381,0.4257
"Otu460_Arthropoda",0,1,2,0.242549696084704,0.0656
"Otu461_Eukaryota",0,1,2,0.115029823280232,0.4016
"Otu462_NA",0,1,2,0.441507386263027,3e-04
"Otu463_Chordata",1,0,1,0.0979031477568688,0.5487
"Otu464_Arthropoda",1,0,1,0.191994417401876,0.149
"Otu465_NA",1,0,1,0.488473989912164,1e-04
"Otu467_NA",0,1,2,0.076252037786701,0.5846
"Otu468_Eukaryota",1,0,1,0.464027063495234,1e-04
"Otu469_Oncaea",1,0,1,0.130188910980824,1
"Otu471_Eukaryota",0,1,2,0.369230809355614,0.0033
"Otu474_NA",1,0,1,0.667451695334081,1e-04
"Otu475_NA",1,0,1,0.158048587162972,0.3621
"Otu477_NA",1,0,1,0.459288653454128,2e-04
"Otu479_Porifera",0,1,2,0.122695317702069,0.3661
"Otu481_Arthropoda",0,1,2,0.477328470021857,2e-04
"Otu482_Echinodermata",1,0,1,0.435230686931038,5e-04
"Otu485_Malacostraca",1,0,1,0.315126458470962,0.0077
"Otu487_Monostilifera",0,1,2,0.131563360999031,0.2973
"Otu489_Eukaryota",1,0,1,0.127783125122268,0.9684
"Otu49_Undinula",1,0,1,0.032249344642658,0.8015
"Otu490_Eukaryota",1,0,1,0.469198109698463,1e-04
"Otu492_NA",1,0,1,0.0752885932366923,0.5905
"Otu493_Cnidaria",1,0,1,0.45040251623433,1e-04
"Otu495_NA",0,1,2,0.551452492962273,1e-04
"Otu497_NA",0,1,2,0.45251561473079,1e-04
"Otu499_NA",0,1,2,0.0621174012742502,0.6691
"Otu5_Pterioida",1,0,1,0.196195460865502,0.0052
"Otu50_Scyphozoa",1,0,1,0.162807960723387,0.2367
"Otu501_Eukaryota",1,0,1,0.399446727386461,6e-04
"Otu502_NA",1,0,1,0.00323906284148154,1
"Otu504_Demospongiae",1,0,1,0.26837809275352,0.0428
"Otu506_NA",0,1,2,0.686227112276587,1e-04
"Otu507_NA",1,0,1,0.472369861674558,1e-04
"Otu509_Anthoathecata",1,0,1,0.441557025937043,2e-04
"Otu51_Arthropoda",0,1,2,0.0367187679204585,0.7466
"Otu511_NA",0,1,2,0.456777029599102,3e-04
"Otu512_NA",0,1,2,0.477032100302552,3e-04
"Otu513_NA",0,1,2,0.413770453005584,4e-04
"Otu514_NA",1,0,1,0.0819219453228112,0.5483
"Otu516_Annelida",1,0,1,0.0028559773898877,0.9926
"Otu519_NA",0,1,2,0.457418668008814,3e-04
"Otu52_Hexanauplia",1,0,1,0.135457831531634,1e-04
"Otu522_NA",1,0,1,0.0216732808524565,0.8936
"Otu525_Arthropoda",1,0,1,0.625498842764385,1e-04
"Otu526_NA",0,1,2,0.438970060692731,3e-04
"Otu527_NA",1,0,1,0.207692275087557,0.1207
"Otu529_NA",0,1,2,0.132728501979257,0.3287
"Otu53_Polychaeta",1,0,1,0.133131651973107,0.0096
"Otu530_Eukaryota",0,1,2,0.408462749399271,8e-04
"Otu531_NA",1,0,1,0.2981905849678,0.0151
"Otu533_NA",1,0,1,0.60302179413312,1e-04
"Otu534_NA",1,0,1,0.495923744340567,1e-04
"Otu536_Eukaryota",0,1,2,0.468895620882628,1e-04
"Otu544_NA",0,1,2,0.47032816025503,3e-04
"Otu55_Hexanauplia",0,1,2,0.0694316378205646,0.5449
"Otu551_Eukaryota",0,1,2,0.139362840251654,0.2977
"Otu552_NA",1,0,1,0.0590201589905495,0.6555
"Otu553_Arthropoda",1,0,1,0.132460886600943,0.142
"Otu554_Eukaryota",1,0,1,0.184710975985875,0.1718
"Otu555_NA",0,1,2,0.45557375257523,3e-04
"Otu556_NA",0,1,2,0.483551929089371,2e-04
"Otu557_Arthropoda",1,0,1,0.638374076278371,1e-04
"Otu56_Arthropoda",1,0,1,0.13279100574597,1e-04
"Otu560_Eukaryota",1,0,1,0.44877022233087,2e-04
"Otu561_Arthropoda",0,1,2,0.132263089568304,0.0433
"Otu565_NA",0,1,2,0.108206859323836,0.4431
"Otu566_Demospongiae",1,0,1,0.365821467447471,0.0037
"Otu567_Gastrotricha",1,0,1,0.130188910980824,1
"Otu568_Monostilifera",0,1,2,0.021841443609872,0.9015
"Otu569_NA",0,1,2,0.0136972647196075,0.9256
"Otu57_Eukaryota",1,0,1,0.0863033900101595,0.4896
"Otu570_NA",0,1,2,0.00419816169162533,1
"Otu571_NA",1,0,1,0.377197833212533,0.0014
"Otu573_Eukaryota",1,0,1,0.448673660179373,2e-04
"Otu576_NA",1,0,1,0.142942968724216,0.3964
"Otu577_Eukaryota",1,0,1,0.126554868625463,0.4196
"Otu578_Mollusca",1,0,1,0.128871302185563,0.752
"Otu579_Gastropoda",1,0,1,0.520610640044001,1e-04
"Otu581_Eukaryota",1,0,1,0.592208276193164,1e-04
"Otu583_Arthropoda",1,0,1,0.467527765486768,4e-04
"Otu585_Arthropoda",0,1,2,0.381766284994836,0.0012
"Otu586_Eukaryota",0,1,2,0.0595929954212601,0.6838
"Otu587_Eukaryota",1,0,1,0.242140293681379,0.0701
"Otu588_Eukaryota",1,0,1,0.471929178183009,2e-04
"Otu59_NA",1,0,1,0.127161534632719,0.9203
"Otu590_Arthropoda",1,0,1,0.338124887237279,0.0084
"Otu591_NA",1,0,1,0.130188910980824,1
"Otu592_Corycaeidae",0,1,2,0.130188910980824,1
"Otu593_Demospongiae",1,0,1,0.260798976635169,0.0475
"Otu594_NA",1,0,1,0.665219829327557,1e-04
"Otu596_Arthropoda",1,0,1,0.540178963927612,1e-04
"Otu597_Cnidaria",1,0,1,0.37060203374436,0.0042
"Otu599_Eukaryota",1,0,1,0.463921925056213,2e-04
"Otu602_NA",1,0,1,0.324815358857481,0.0111
"Otu603_Eukaryota",0,1,2,0.443393227837651,3e-04
"Otu609_NA",0,1,2,0.437194391214167,1e-04
"Otu61_Eukaryota",0,1,2,0.0808789572107177,0.6764
"Otu610_Scyphozoa",1,0,1,0.446391145217076,4e-04
"Otu612_NA",1,0,1,0,1
"Otu615_Eukaryota",1,0,1,0.454471004744424,1e-04
"Otu616_NA",1,0,1,0.167366560550567,0.2299
"Otu618_Mollusca",1,0,1,0.153448271207495,0.2648
"Otu62_Leptothecata",0,1,2,0.133938315333492,4e-04
"Otu620_Eukaryota",0,1,2,0.283888124448185,0.027
"Otu622_NA",0,1,2,0.390920267056895,0.0022
"Otu623_Hydrozoa",0,1,2,0.351046171249205,0.0059
"Otu624_Mollusca",1,0,1,0.116466697095031,0.4167
